"Catchment basin";"Gain";"Loss"
1;330.9678163686;-10.0735376519
2;343.7507882855;-20.6333840179
3;223.0420181468;-5.2104505096
4;313.0786029524;-75.4820597155
5;51.305569351;-3.5431063465
6;88.5429223261;-6.322013285
7;222.6599184428;-35.5005361386
8;226.8977515239;-22.4744098647
9;249.7195247559;-6.9820036828
10;184.5194207126;-8.9619748765
11;216.1294871374;-15.3187244982
