"Catchment basin";"Gain";"Loss"
1;0.0;-1.7
2;0.0;-15.2
3;0.0;-12.4
4;0.0;-2.1
5;0.0;-0.0
6;0.0;-1.3
7;0.0;-0.0
8;0.0;-9.8
9;0.0;-4.7
10;0.0;-24.7
11;0.0;-13.4
